_meta_key,_meta_value
APICall::Landroid/app/NotificationManager.canUseFullScreenIntent(),1
APICall::Landroid/app/NotificationManager.cancel(),1
APICall::Landroid/app/NotificationManager.cancelAll(),1
APICall::Landroid/app/NotificationManager.createNotificationChannel(),1
APICall::Landroid/app/NotificationManager.createNotificationChannelGroup(),1
APICall::Landroid/app/NotificationManager.createNotificationChannelGroups(),1
APICall::Landroid/app/NotificationManager.createNotificationChannels(),1
APICall::Landroid/app/NotificationManager.deleteNotificationChannel(),1
APICall::Landroid/app/NotificationManager.deleteNotificationChannelGroup(),1
APICall::Landroid/app/NotificationManager.getActiveNotifications(),1
APICall::Landroid/app/NotificationManager.getCurrentInterruptionFilter(),1
APICall::Landroid/app/NotificationManager.getImportance(),1
APICall::Landroid/app/NotificationManager.getNotificationChannel(),1
APICall::Landroid/app/NotificationManager.getNotificationChannelGroup(),1
APICall::Landroid/app/NotificationManager.getNotificationChannelGroups(),1
APICall::Landroid/app/NotificationManager.getNotificationChannels(),1
APICall::Landroid/app/NotificationManager.notify(),1
APICall::Landroid/app/PendingIntent$OnFinished.onSendFinished(),1
APICall::Landroid/app/PendingIntent.getActivities(),1
APICall::Landroid/app/PendingIntent.getActivity(),1
APICall::Landroid/app/PendingIntent.getBroadcast(),1
APICall::Landroid/app/PendingIntent.getForegroundService(),1
APICall::Landroid/app/PendingIntent.getIntentSender(),1
APICall::Landroid/app/PendingIntent.getService(),1
APICall::Landroid/app/PendingIntent.send(),1
APICall::Landroid/app/Person$Builder.<init>(),1
APICall::Landroid/app/Person$Builder.build(),1
APICall::Landroid/app/Person$Builder.setBot(),1
APICall::Landroid/app/Person$Builder.setIcon(),1
APICall::Landroid/app/Person$Builder.setImportant(),1
APICall::Landroid/app/Person$Builder.setKey(),1
APICall::Landroid/app/Person$Builder.setName(),1
